Hp,Ep,Length,Hydrophobic residue%,miuH,H,Normalized Hydrophobic Moment,Normalized Hydrophobicity,Net Charge,Isoelectric Point,Penetration Depth,Tilt Angle,Disordered Conformation Propensity,Linear Moment,Propensity to in vitro Aggregation,Angle Subtended by the Hydrophobic Residues,Amphiphilicity Index,Propensity to PPII coil,Boman Index,PP1,PP2,PP3,KF1,KF2,KF3,KF4,KF5,KF6,KF7,KF8,KF9,KF10,Z1,Z2,Z3,Z4,Z5,F1,F2,F3,F4,F5,F6,T1,T2,T3,T4,T5,VHSE1,VHSE2,VHSE3,VHSE4,VHSE5,VHSE6,VHSE7,VHSE8,ProtFP1,ProtFP2,ProtFP3,ProtFP4,ProtFP5,ProtFP6,ProtFP7,ProtFP8,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,BLOSUM1,BLOSUM2,BLOSUM3,BLOSUM4,BLOSUM5,BLOSUM6,BLOSUM7,BLOSUM8,BLOSUM9,BLOSUM10,MSWHIM1,MSWHIM2,MSWHIM3,Tiny_Mole.,Small_Mole.,Aliphatic_Mole.,Aromatic_Mole.,NonPolar_Mole.,Polar_Mole.,Charged_Mole.,Basic_Mole.,Acidic_Mole.,Anti_Sa,Label
0.4,0.2,20,0.45,0.71249788,0.045,2.16,0.88,8,11.98,16,93,-0.43,0.19,0,140,1.53,0.9,2.9685,-0.0235,-0.0335,0.3725,-0.407,0.2105,0.0665,0.541,-0.063,-0.807,0.621,0.1,0.085,0.1415,0.4075,0.03,-1.489,0.316,0.3675,-0.31315,0.45935,0.1929,0.59935,-0.0523,0.5644,-3.624,1.153,-0.6605,0.46,0.3445,-0.268,0.287,0.248,0.197,0.64,-0.047,0.832,-0.1065,-0.8495,1.382,-0.246,1.3405,-0.532,0.8745,0.1085,0.122,-0.68665,-0.07585,-0.0115,-0.0401,-0.33975,0.2848,0.31815,0.4704,0.255,-0.236,-0.489,-0.266,0.3435,0.2695,0.239,0.1415,0.0695,-0.3265,-0.4195,0.2945,0.1295,15,20,35,5,45,55,50,45,5,4.83418,1
0.15,0.25,20,0.35,0.594698307,-0.16,1.83,1.52,10,12.19,30,19,-0.73,0.22,0,100,1.84,0.9,4.2315,0.137,0.017,0.4855,-0.3245,0.3495,0.19,0.8045,-0.0355,-0.7855,0.701,0.0255,-0.0235,0.264,0.897,0.2185,-1.8715,0.47,0.3405,-0.51665,0.45115,0.2166,0.53155,-0.0671,0.7894,-3.311,1.593,-0.803,0.4725,0.24,-0.4835,0.4195,0.3645,0.3545,0.786,0.0915,1.027,-0.0245,-1.5715,2.165,-0.0885,1.565,-0.466,0.9575,0.231,0.0805,-0.63625,0.0113,-0.01995,-0.049,-0.30185,0.4333,0.4109,0.4658,0.4395,-0.233,-0.583,-0.37,0.464,0.2605,0.2505,0.1545,-0.022,-0.347,-0.4575,0.2595,0.2575,10,15,30,0,35,65,60,55,5,19.8736,1
0.3,0.3,20,0.35,0.632902131,-0.065,1.87,1.48,11,12.62,26,34,-0.76,0.21,0,100,1.84,0.91,4.1095,0.1345,0.091,0.4715,-0.208,0.4845,0.3045,0.743,0.1425,-0.7775,0.7845,0.03,0.0675,0.1555,0.606,0.4435,-1.915,0.589,0.29,-0.4412,0.3744,0.3497,0.4275,-0.09285,0.90405,-2.8295,1.6225,-0.8775,0.3665,0.1,-0.404,0.4915,0.484,0.3825,0.91,0.1805,0.887,-0.032,-1.171,2.49,0.2005,1.563,-0.319,0.837,0.2755,0.182,-0.56125,0.08295,0.07475,-0.0588,-0.3365,0.57125,0.37875,0.4207,0.335,-0.133,-0.635,-0.357,0.4635,0.2655,0.245,0.154,-0.088,-0.4095,-0.38,0.3615,0.2585,5,10,25,5,35,65,55,55,0,10.23724,1
0.15,0.45,20,0.4,0.556286788,0.196,2.01,0.75,4,11.72,17,77,-0.19,0.24,0,80,0.98,1.04,3.686,0.0705,-0.093,0.139,-0.105,0.1995,0.441,0.455,-0.253,-0.3515,0.1345,-0.2115,0.183,0.014,0.3145,0.1355,-1.2055,-0.174,0.326,-0.45645,0.2209,0.1691,0.33185,0.16365,0.59975,-3.3295,0.878,-0.2385,0.204,0.223,-0.2495,0.274,0.284,-0.136,0.276,0.0035,0.317,0.2625,-0.5275,1.278,-0.5545,0.8015,-0.0465,0.0255,0.4005,0.039,-0.6645,-0.15225,-0.1775,-0.07755,-0.12675,0.28645,0.24715,0.07975,0.212,-0.2925,-0.509,-0.156,0.11,0.1215,0.024,-0.0385,-0.038,-0.1645,-0.373,0.4385,-0.0785,10,35,30,5,40,60,40,30,10,98.8392,2
0.077,0.462,13,0.538,0.846486038,0.315384615,2.61,0.44,4,11.87,15,87,-0.2,0.2,0,160,1.23,0.98,3.489230769,-0.007692308,0.104615385,0.13,-0.274615385,0.492307692,0.523076923,0.386153846,-0.194615385,-0.426153846,0.303846154,0.073076923,0.399230769,-0.038461538,-0.170769231,0.553076923,-1.486153846,0.229230769,0.124615385,-0.248384615,0.426615385,0.500923077,0.261384615,-0.065692308,0.835538462,-2.300769231,1.209230769,-0.535384615,0.128461538,-0.001538462,-0.089230769,0.51,0.584615385,-0.082307692,0.529230769,0.157692308,0.296153846,0.122307692,0.659230769,2.13,-0.464615385,0.776923077,0.048461538,0.266923077,0.333846154,0.280769231,-0.486230769,-0.029769231,0.058153846,-0.089307692,-0.296846154,0.589923077,0.269538462,0.199153846,-0.057692308,-0.117692308,-0.644615385,-0.143846154,0.163076923,0.182307692,0.012307692,0.176923077,0.012307692,-0.341538462,-0.254615385,0.449230769,0.078461538,0,15.385,30.769,15.385,46.154,53.846,46.154,38.462,7.692,474.56912,3
0.25,0.417,12,0.5,0.782013745,0.1925,2.61,0.71,4,11.87,15,89,-0.31,0.26,0,160,1.33,0.97,4.028333333,0.0625,0.073333333,0.189166667,-0.28,0.451666667,0.596666667,0.5375,-0.229166667,-0.394166667,0.273333333,-0.0125,0.29,-0.005,0.166666667,0.4375,-1.698333333,0.203333333,0.186666667,-0.373,0.43775,0.431333333,0.285333333,-0.072166667,0.906416667,-2.533333333,1.388333333,-0.5275,0.245,0.035,-0.223333333,0.501666667,0.553333333,-0.075833333,0.5525,0.1475,0.431666667,0.149166667,0.150833333,2.234166667,-0.5775,0.935,0.093333333,0.335,0.434166667,0.216666667,-0.525166667,-0.03425,-0.027,-0.078416667,-0.2435,0.591583333,0.32175,0.192583333,0.0725,-0.211666667,-0.6725,-0.2075,0.2225,0.173333333,0.015,0.183333333,-0.0225,-0.2625,-0.339166667,0.415833333,0.113333333,0,16.667,33.333,8.333,41.667,58.333,50,41.667,8.333,12.0698,1
0.692,0.308,13,0.615,0.410792697,0.819230769,1.34,0.79,4,12.57,15,92,-0.31,0.29,0,60,2.35,1.19,2.905384615,-0.141538462,0.406153846,0.066923077,0.284615385,0.920769231,0.161538462,-0.237692308,-0.625384615,-0.140769231,0.313076923,-0.450769231,-0.083846154,0.158461538,-1.356153846,1.715384615,-0.727692308,1.476153846,-0.143846154,-0.064307692,-0.040769231,0.811307692,-0.213076923,0.414384615,0.647923077,-0.106153846,-0.159230769,-0.567692308,-0.626923077,-0.216923077,0.324615385,0.923846154,0.88,0.338461538,0.720769231,0.046153846,-0.079230769,0.526153846,2.116153846,2.535384615,1.371538462,0.216923077,-0.432307692,-0.094615385,-0.002307692,0.281538462,-0.136307692,0.077153846,0.189769231,-0.323153846,-0.401384615,0.061846154,0.548692308,0.179153846,-0.363076923,0.474615385,-0.1,-0.606153846,0.102307692,-0.110769231,0.215384615,-0.062307692,-0.161538462,-0.243846154,0.08,0.668461538,-0.002307692,0,23.077,15.385,38.462,69.231,30.769,30.769,30.769,0,18.66666667,1
0.192,0.231,26,0.462,0.499607888,0.339230769,1.5,0.07,7,11.45,15,94,-0.05,0.18,1.68,90,1.25,1.05,0.833076923,-0.12,-0.253846154,0.349230769,-0.227307692,-0.18,0.180769231,0.245,0.215769231,-0.812307692,-0.03,-0.416538462,-0.263076923,0.026538462,-0.123076923,-0.643846154,-0.783846154,-0.002692308,0.365384615,-0.257538462,0.166423077,-0.048269231,0.602192308,0.106461538,0.342423077,-4.654615385,-0.076923077,-0.224615385,0.405769231,0.530384615,-0.054615385,-0.110769231,-0.071153846,-0.398461538,0.482692308,-0.266923077,0.168846154,0.078076923,-0.556923077,-0.158846154,-0.466923077,1.433461538,-0.438076923,0.128461538,0.24,0.548846154,-0.863153846,-0.369,-0.238538462,-0.049384615,-0.194153846,-0.181038462,0.178653846,0.141307692,0.070384615,-0.417692308,-0.195769231,-0.231538462,0.127307692,0.178461538,0.11,-0.316538462,0.273461538,-0.184230769,-0.564230769,0.515,-0.296923077,38.462,50,34.615,7.692,46.154,53.846,26.923,26.923,0,139.79488,3
0.308,0.231,26,0.577,0.163973015,0.663461538,0.45,-0.84,5,11.27,9,112,0.31,0.28,12.35,60,0.97,0.93,-0.880769231,-0.433461538,-0.226923077,0.202307692,-0.224230769,-0.259615385,0.185384615,-0.123076923,0.088461538,-0.864230769,0.329230769,-0.026153846,-0.215,0.11,-1.02,-1.100769231,-0.901153846,-0.105384615,0.292692308,0.072961538,0.100615385,0.037730769,0.832692308,0.034153846,0.130076923,-4.91,-0.213461538,-0.316153846,0.649615385,0.61,0.302692308,-0.176923077,-0.178846154,-0.235,0.370769231,-0.670384615,0.368846154,-0.172307692,0.695,-1.217307692,-0.145384615,0.928846154,-0.728461538,0.55,0.344615385,0.199230769,-0.907192308,-0.3705,-0.126692308,0.010153846,-0.402269231,-0.188884615,0.101269231,0.293807692,-0.245384615,-0.422307692,-0.141153846,-0.197307692,-0.051923077,0.273846154,0.226153846,-0.031538462,0.071923077,-0.085384615,-0.538461538,0.480769231,-0.284230769,30.769,42.308,46.154,7.692,69.231,30.769,19.231,19.231,0,28,1
0.036,0.679,28,0.536,0.163688653,0.5525,0.48,-0.48,7,11.45,12,93,0.14,0.3,12.31,60,1.17,0.91,-0.451071429,-0.358571429,-0.194285714,0.25,-0.263214286,-0.163214286,0.120714286,0.002857143,0.195714286,-0.969642857,0.527857143,-0.075357143,-0.226785714,0.256785714,-0.856071429,-0.982857143,-1.087857143,0.010357143,0.276428571,-0.026357143,0.169607143,0.068357143,0.830178571,0.048714286,0.206178571,-4.696428571,-0.01,-0.411071429,0.651428571,0.537142857,0.2125,-0.094285714,-0.095357143,-0.148571429,0.467857143,-0.576071429,0.462142857,-0.158214286,0.351428571,-0.731071429,-0.058214286,1.057142857,-0.810357143,0.640357143,0.283928571,0.2975,-0.869785714,-0.326035714,-0.082392857,0.005642857,-0.409535714,-0.078464286,0.117142857,0.299392857,-0.167857143,-0.395357143,-0.201071429,-0.275357143,0.026428571,0.257857143,0.2225,-0.063214286,0.055,-0.141428571,-0.5225,0.456785714,-0.213928571,28.571,39.286,42.857,7.143,64.286,35.714,25,25,0,6.25,1
0.385,0.269,26,0.5,0.428432887,0.509230769,1.25,-0.32,6,11.37,12,104,0.11,0.25,0,80,1.11,1,0.111923077,-0.225384615,-0.226153846,0.269615385,-0.230384615,-0.166538462,0.233846154,0.091153846,0.166153846,-0.840769231,0.212692308,-0.333846154,-0.228846154,0.136153846,-0.625769231,-0.846538462,-0.943461538,-0.090769231,0.286538462,-0.090884615,0.162115385,0.0295,0.698115385,0.110692308,0.2935,-4.606923077,-0.103076923,-0.235769231,0.515384615,0.493076923,0.12,-0.101923077,-0.058461538,-0.376923077,0.437692308,-0.429615385,0.194615385,-0.001153846,0.137307692,-0.470769231,-0.358076923,1.203076923,-0.553846154,0.232307692,0.314615385,0.448076923,-0.856038462,-0.389615385,-0.1945,-0.037153846,-0.259153846,-0.094807692,0.117923077,0.111038462,-0.109615385,-0.433846154,-0.211923077,-0.233461538,0.053076923,0.212307692,0.119230769,-0.288461538,0.138846154,-0.144230769,-0.546153846,0.534615385,-0.294615385,34.615,46.154,38.462,7.692,53.846,46.154,23.077,23.077,0,16,1
0.462,0.308,26,0.5,0.404490462,0.462692308,1.16,-0.22,6,11.37,13,103,0.08,0.26,0,80,1.11,1,0.229615385,-0.223461538,-0.245769231,0.294615385,-0.240769231,-0.218076923,0.077692308,0.088076923,0.106923077,-0.864230769,0.164230769,-0.339230769,-0.218846154,0.076538462,-0.453846154,-0.791538462,-0.773846154,-0.060769231,0.378461538,-0.0495,0.157461538,-0.028461538,0.721269231,0.118769231,0.205692308,-4.788076923,-0.130769231,-0.238846154,0.494615385,0.585769231,0.083846154,-0.122692308,-0.123846154,-0.313846154,0.42,-0.4,0.223461538,-0.029230769,-0.159230769,-0.579230769,-0.350769231,1.218846154,-0.573846154,0.276923077,0.168076923,0.461538462,-0.883,-0.361961538,-0.206346154,-0.039153846,-0.254884615,-0.202961538,0.141615385,0.208307692,-0.038076923,-0.411153846,-0.158076923,-0.223076923,0.092307692,0.219615385,0.156153846,-0.246538462,0.199615385,-0.162307692,-0.544230769,0.502692308,-0.300384615,38.462,46.154,38.462,7.692,53.846,46.154,23.077,23.077,0,45.38512,2
0.5,0.308,26,0.462,0.557941356,0.427692308,1.59,-0.1,7,11.45,14,95,0,0.17,1.69,90,1.25,1.05,0.627692308,-0.119230769,-0.210769231,0.310769231,-0.175769231,-0.078846154,0.324615385,0.208076923,0.285384615,-0.862307692,-0.018846154,-0.437307692,-0.279615385,0.124230769,-0.405769231,-0.616923077,-0.946538462,-0.052307692,0.296923077,-0.278538462,0.167615385,0.0575,0.608192308,0.113423077,0.423076923,-4.348076923,0.023076923,-0.281153846,0.423846154,0.375769231,0.015384615,-0.058076923,0.04,-0.431923077,0.498076923,-0.303461538,0.135,0.09,-0.133846154,0.058461538,-0.456923077,1.38,-0.471153846,0.077307692,0.413846154,0.44,-0.819115385,-0.357076923,-0.201346154,-0.058230769,-0.204307692,0.023115385,0.147307692,0.030461538,-0.033461538,-0.427307692,-0.294615385,-0.235769231,0.086923077,0.183076923,0.063846154,-0.306153846,0.161538462,-0.186923077,-0.575,0.557692308,-0.277692308,30.769,46.154,34.615,7.692,46.154,53.846,26.923,26.923,0,94.03904,2
0.333,0.167,12,0.667,0.072436807,0.775833333,0.71,-0.3,4,11.42,14,113,0,0.5,0,60,2.02,0.99,1.165833333,-0.1925,0.278333333,0.1175,-0.185,0.724166667,0.585,-0.074166667,-0.180833333,-0.570833333,0.243333333,0.184166667,0.156666667,0.010833333,-1.530833333,0.803333333,-1.274166667,0.689166667,-0.223333333,0.112583333,0.358166667,0.8705,0.20975,-0.179,0.783333333,-1.223333333,0.518333333,-0.6225,-0.065,-0.185833333,0.3775,0.670833333,0.795833333,-0.084166667,0.766666667,-0.085833333,0.0625,-0.063333333,2.699166667,2.1175,0.153333333,0.700833333,-0.296666667,0.351666667,0.545,0.22,-0.294333333,-0.057,0.258583333,-0.194916667,-0.427333333,0.519833333,0.186,0.146583333,-0.593333333,0.165833333,-0.531666667,-0.1575,0.110833333,0.166666667,0.105,0.061666667,0.0425,-0.338333333,-0.1275,0.600833333,0.054166667,0,8.333,33.333,33.333,66.667,33.333,33.333,33.333,0,16.7113,1
0.083,0.25,12,0.667,0.045811482,0.814166667,0.66,0.01,4,11.42,14,114,-0.09,0.48,0,60,2.6,1,1.22,-0.116666667,0.321666667,0.126666667,-0.1425,0.8175,0.555,-0.085833333,-0.295833333,-0.455833333,0.1475,0.059166667,-0.1775,-0.0025,-1.5425,0.97,-1.313333333,0.930833333,-0.304166667,0.079,0.3275,0.931583333,0.098583333,-0.2475,0.752916667,-0.786666667,0.374166667,-0.575833333,-0.1225,-0.194166667,0.375833333,0.791666667,0.865,-0.008333333,0.808333333,-0.12,0.089166667,-0.1175,2.746666667,2.423333333,0.31,0.593333333,-0.345833333,0.484166667,0.636666667,0.181666667,-0.221666667,-0.05575,0.19025,-0.2735,-0.335916667,0.4555,0.299916667,0.139666667,-0.59,0.271666667,-0.408333333,-0.343333333,0.166666667,0.1625,0.061666667,0.02,-0.0225,-0.189166667,-0.1075,0.611666667,0.043333333,0,8.333,33.333,33.333,66.667,33.333,33.333,33.333,0,68.4068,2
